ESD_um_,Area,Eccentricity,EquivDiameter,FilledArea,OD,MajorAxisLength,MeanIntensity,MinorAxisLength,Orientation,Perimeter,Solidity,AspectRatio,Circularity,SettlingVelocity_mpd_
48.82114734,13,0.505789615,4.068428945,13,0.258936453,4.470371451,43.84615385,3.856396618,-45,9.461,1,1.159209463,1,1.503905684
157.9085914,136,0.385074897,13.15904928,136,0.234078146,14.06151293,31.80882353,12.97716393,48.50379819,48.141,0.855345912,1.083558241,0.649843569,37.003392
27.08110001,4,0,2.256758334,4,0.222440471,2.309401077,24.25,2.309401077,0,3.556,1,1,1,4.958125714
27.08110001,4,0.731925055,2.256758334,4,0.223954969,3.055050463,25.75,2.081665999,90,4.59,1,1.467598771,0.840875939,0.98496
153.1938357,127,0.344902318,12.71618741,127,0.225469467,13.63120844,26.28346457,12.79477819,59.96015101,49.564,0.835526316,1.065372783,0.574513426,125.9712
214.0948939,249,0.436118608,17.80552293,249,0.39830791,19.05890329,73.81927711,17.15090111,41.42334336,62.357,0.889285714,1.111247926,0.729365596,26.83584
27.08110001,4,0.870424023,2.256758334,4,0.212602917,3.435908801,21.75,1.691507428,58.28252559,4.408,1,2.0312703,0.881907054,4.1256
30.27759026,5,0.765092056,2.523132522,5,0.274116992,3.306559138,42.4,2.12916259,18.43494882,4.962,1,1.552985739,0.956807706,3.78432
123.3602814,83,0.4477566,10.28002345,83,0.239580502,11.03367973,34.19277108,9.865825219,-47.87808164,32.13,0.922222222,1.118373727,0.838374028,9.215670857
33.16743835,5,0.923686818,2.523132522,5,0.212602917,4.492622032,23.2,1.72134074,-69.00639375,6.368,1,2.609955094,0.694793969,4.704031385
85.63795758,40,0.431397674,7.136496465,40,0.266324787,7.630623597,40.9,6.884057683,65.57306649,19.584,0.975609756,1.108448527,0.973283632,7.158331915
40.62165002,9,0.867926073,3.385137501,9,0.264809505,5.120763832,36.88888889,2.543449587,71.56505118,9.18,1,2.01331446,0.744935514,2.38464
67.70275003,25,0.854201153,5.641895835,25,0.291266718,9.463572165,62.88,4.920515069,86.35397052,25.671,0.625,1.92328893,0.378429683,6.605897143
46.90584114,10,0.802871409,3.568248232,10,0.216029193,6.046079881,24.7,3.604384099,70.67009587,13.009,0.769230769,1.677423858,0.481762439,1.251565714
185.1642365,187,0.72227549,15.43035304,187,0.25608116,18.69454511,39.05882353,12.92924953,22.87305153,48.488,0.944444444,1.445911077,0.88156446,7.67232
198.5434368,215,0.913152954,16.5452864,215,0.42501065,26.85571969,73.58139535,10.94685001,80.69110231,62.548,0.86,2.453282877,0.626116554,21.68797091
57.44768838,11,0.783564971,3.742410319,11,0.220870602,5.351343866,19,3.324842685,23.10943762,11.438,0.846153846,1.609502877,0.650297027,2.431463226
35.82492793,5,0.576018433,2.523132522,5,0.222440471,3.401960219,34.4,2.780887149,0,6.368,1,1.223336309,0.694793969,3.085294629
110.0039483,66,0.548603183,9.166995688,66,0.342313839,10.25991488,62.75757576,8.578138967,-76.08762543,27.887,0.956521739,1.196053703,0.861449144,13.01184
27.08110001,4,0,2.256758334,4,0.225469467,2.309401077,25.5,2.309401077,0,3.556,1,1,1,7.376091429
146.463442,117,0.553444777,12.20528684,117,0.342313839,13.42560565,63.46153846,11.1819973,70.78622048,35.661,0.983193277,1.200644688,0.976504472,13.82943086
90.83277079,43,0.872809201,7.39927702,43,0.310778771,11.74429142,63.23255814,5.731937336,78.51656707,26.878,0.86,2.04892181,0.59960981,8.491667257
76.59691784,32,0.866025404,6.383076486,32,0.212602917,9.237604307,22,4.618802154,90,19.236,1,2,0.803032485,4.187076923
38.29845892,4,0.968245837,2.256758334,4,0.207090218,4.618802154,30.25,1.154700538,0,5.88,1,4,0.617594511,2.72256
46.90584114,12,0.571051554,3.908820095,12,0.226938275,4.514224593,27.16666667,3.705791067,-55.27802261,9.734,1,1.218154103,0.909612989,8.419674041
30.27759026,5,0.765092056,2.523132522,5,0.216029193,3.306559138,23,2.12916259,18.43494882,4.962,1,1.552985739,0.956807706,8.36352
59.02188911,19,0.619000533,4.918490759,19,0.222440471,5.663657108,26.57894737,4.448182857,12.82050291,12.711,1,1.273251863,0.950085882,7.052173017
54.16220002,16,0.270033922,4.513516668,16,0.232674652,5.009182908,27.0625,4.823095817,-86.07334335,12.736,0.888888889,1.038582499,0.797554804,7.090971429
114.8953768,72,0.664323996,9.57461473,72,0.325943925,11.52789446,55.59722222,8.616463996,-23.92481436,34.09,0.818181818,1.33789156,0.652708294,10.75595609
115.69051,73,0.836102304,9.64087583,73,0.250496356,13.23713424,38.71232877,7.261541701,75.53449044,30.699,0.948051948,1.822909622,0.801044796,3.695887059
63.51080914,22,0.526810031,5.292567428,22,0.247750155,5.867217605,32.27272727,4.987035534,90,13.588,1,1.176494044,0.987783601,4.991191579
57.44768838,18,0.419579443,4.787307365,18,0.222440471,5.203321418,20.72222222,4.72315173,87.02656847,12.645,0.9,1.101662982,0.907623148,2.695433143
48.82114734,13,0.632147035,4.068428945,13,0.222440471,4.877606302,24.76923077,3.779405701,22.90346473,10.751,0.928571429,1.290574944,0.846421356,9.789696
89.81784764,44,0.347912069,7.484820637,44,0.222440471,7.863591396,26.54545455,7.37233058,-61.0026916,20.907,0.956521739,1.066635755,0.956055729,6.68574
