ESD(um),Area,Eccentricity,EquivDiameter,FilledArea,intensity,MajorAxisLength,MeanIntensity,MinorAxisLength,Orientation,Perimeter,Solidity,AspectRatio,Circularity,SettlingVelocity(mpd)
46.9058411426803,12,0.7374382114214,3.90882009522336,12,0.182352941176471,4.99510201554308,50.25,3.37376483881891,-31.0879518078734,10.106,0.923076923076923,1.48057207724406,0.859245326725582,2.91705081081081
64.9381965576721,23,0.549489915741102,5.41151637980601,23,0.0980392156862745,6.24018071609759,26.0869565217391,5.21367316358215,-41.6020279919905,16.747,0.884615384615385,1.19688759159006,0.730683994426115,5.5648512
59.0218891123912,19,0.48846235804836,4.91849075936594,19,0.113725490196078,5.44939775580992,29,4.75506256134621,-21.7396151694281,13.29,0.904761904761905,1.14602020173361,0.88430920333738,1.5444864
33.1674383492482,6,0.74535599249993,2.76395319577068,6,0.117647058823529,3.46410161513775,32.3333333333333,2.3094010767585,90,5.516,1,1.5,1,-0.398041043478261
141.367492352956,109,0.585868180110471,11.7806243627463,109,0.172549019607843,13.173863907861,47.1376146788991,10.6761831552716,54.9290285114111,35.107,0.964601769911504,1.23394884822261,0.936279343375799,10.7629159550562
54.1622000205846,16,0.438219142290111,4.51351666838205,16,0.154901960784314,5.077120675643,39.6875,4.56366216011057,71.3480258610083,13.563,0.888888888888889,1.11251019412006,0.720539953645755,-0.722304
104.88464933684,60,0.446258184470024,8.74038744473663,60,0.170588235294118,9.33733438703032,47.95,8.35602031075021,63.3528171774504,24.612,0.983606557377049,1.11743797164035,0.978864762478408,2.732544
152.594248889389,127,0.747851557167621,12.716187407449,127,0.152941176470588,15.7424045681285,43.4409448818898,10.4508469433681,-10.6038712951392,39.308,0.962121212121212,1.50632811421263,0.885658980634157,14.3047450746269
52.4423246684198,15,0.475270820628803,4.37019372236832,15,0.133333333333333,4.76095228569523,35.2,4.18887415264134,45,10.751,1,1.1365708570388,0.976640026261239,3.66903402985075
86.7018239261228,41,0.643013564674503,7.22515199384357,41,0.109803921568627,8.59446300531305,30.0243902439024,6.58211063921618,86.1672785193757,22.95,0.854166666666667,1.30573055914729,0.756819897403079,19.6630325581395
256.913872725999,360,0.550635853859523,21.4094893938333,360,0.190196078431373,23.6629993037243,53.2944444444444,19.7525836972629,-87.8708870148185,72.795,0.918367346938776,1.19796982847379,0.784531078968239,70.7416615384615
63.5108091408147,22,0.526810031433486,5.29256742840123,22,0.147058823529412,5.8672176049847,36.3636363636364,4.98703553385957,90,13.588,1,1.17649404443765,0.98778360099765,10.4594823529412
